"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr3",144628395,144629232,838,"*","Distal Intergenic",3,144577652,144595432,17781,1,"93684","ENSMUST00000151086.2",50743,"ENSMUSG00000037072","Selenof","selenoprotein F"
"2","chr2",35015984,35016880,897,"*","Promoter (2-3kb)",2,34983703,35019645,35943,2,"15139","ENSMUST00000156412.2",2765,"ENSMUSG00000026874","Hc","hemolytic complement"
"3","chr6",73221329,73222238,910,"*","Promoter (<=1kb)",6,73017606,73221631,204026,2,"330355","ENSMUST00000064948.12",0,"ENSMUSG00000052861","Dnah6","dynein, axonemal, heavy chain 6"
"4","chr11",118980258,118980809,552,"*","Distal Intergenic",11,118988188,118992841,4654,1,"238011","ENSMUST00000092373.12",-7379,"ENSMUSG00000046697","Enpp7","ectonucleotide pyrophosphatase/phosphodiesterase 7"
"5","chr9",106296546,106297424,879,"*","Intron (ENSMUST00000072206.13/70235, intron 7 of 10)",9,106300758,106349877,49120,1,"70235","ENSMUST00000189325.6",-3334,"ENSMUSG00000023345","Poc1a","POC1 centriolar protein A"
"6","chr2",49609345,49610239,895,"*","Distal Intergenic",2,49619298,49774778,155481,1,"16574","ENSMUST00000028102.13",-9059,"ENSMUSG00000026764","Kif5c","kinesin family member 5C"
"7","chr8",94953399,94954218,820,"*","Distal Intergenic",8,94934167,94935084,918,1,"382045","ENSMUST00000142991.1",19232,"ENSMUSG00000061577","Adgrg5","adhesion G protein-coupled receptor G5"
"8","chr4",136808287,136809175,889,"*","Intron (ENSMUST00000105845.8/13844, intron 1 of 15)",4,136654646,136835843,181198,2,"13844","ENSMUST00000105846.8",26668,"ENSMUSG00000028664","Ephb2","Eph receptor B2"
"9","chr3",144321820,144322657,838,"*","Distal Intergenic",3,144188683,144205220,16538,2,"16911","ENSMUST00000196264.4",-116600,"ENSMUSG00000028266","Lmo4","LIM domain only 4"
"10","chr2",152903927,152904765,839,"*","Distal Intergenic",2,152911352,152923068,11717,1,"228785","ENSMUST00000028970.7",-6587,"ENSMUSG00000027470","Mylk2","myosin, light polypeptide kinase 2, skeletal muscle"
"11","chr15",58733935,58734811,877,"*","Distal Intergenic",15,58648505,58665092,16588,1,"631797","ENSMUST00000159177.1",85430,"ENSMUSG00000037106","Fer1l6","fer-1-like 6 (C. elegans)"
"12","chr15",100728422,100729129,708,"*","Promoter (<=1kb)",15,100691813,100729376,37564,2,"207839","ENSMUST00000159715.7",247,"ENSMUSG00000037280","Galnt6","polypeptide N-acetylgalactosaminyltransferase 6"
"13","chr18",75456533,75457377,845,"*","Intron (ENSMUST00000165559.2/269037, intron 10 of 11)",18,75514645,75522806,8162,1,"100038353","ENSMUST00000181913.1",-57268,"ENSMUSG00000097712","Gm10532","predicted gene 10532"
"14","chr3",9625762,9626879,1118,"*","Distal Intergenic",3,9427020,9610085,183066,2,"170753","ENSMUST00000041124.12",-15677,"ENSMUSG00000040209","Zfp704","zinc finger protein 704"
"15","chr1",181366477,181367384,908,"*","Intron (ENSMUST00000161880.7/72978, intron 1 of 5)",1,181353426,181459252,105827,1,"72978","ENSMUST00000209607.1",13051,"ENSMUSG00000026514","Cnih3","cornichon family AMPA receptor auxiliary protein 3"
"16","chr12",69416527,69417410,884,"*","Distal Intergenic",12,69372150,69373783,1634,1,"11845","ENSMUST00000050063.8",44377,"ENSMUSG00000044147","Arf6","ADP-ribosylation factor 6"
"17","chr7",142462327,142463221,895,"*","Promoter (1-2kb)",7,142460864,142494603,33740,1,"16985","ENSMUST00000105967.7",1463,"ENSMUSG00000018819","Lsp1","lymphocyte specific 1"
"18","chr13",58114982,58115886,905,"*","Promoter (1-2kb)",13,58000228,58113592,113365,2,"100503085","ENSMUST00000160860.8",-1390,"ENSMUSG00000014164","Klhl3","kelch-like 3"
"19","chr15",99380915,99381802,888,"*","Distal Intergenic",15,99317225,99370482,53258,2,"22379","ENSMUST00000088233.12",-10433,"ENSMUSG00000023008","Fmnl3","formin-like 3"
"20","chr5",24447342,24448258,917,"*","Promoter (<=1kb)",5,24445458,24447854,2397,2,"64295","ENSMUST00000030799.14",0,"ENSMUSG00000028958","Tmub1","transmembrane and ubiquitin-like domain containing 1"
"21","chr2",26483094,26484044,951,"*","Intron (ENSMUST00000028288.4/18128, intron 4 of 33)",2,26469825,26470498,674,2,"18128","ENSMUST00000129506.1",-12596,"ENSMUSG00000026923","Notch1","notch 1"
"22","chr9",71805368,71806230,863,"*","Distal Intergenic",9,71626509,71771602,145094,2,"68178","ENSMUST00000121322.7",-33766,"ENSMUSG00000032232","Cgnl1","cingulin-like 1"
"23","chr2",167909666,167910601,936,"*","Distal Intergenic",2,167932057,167974737,42681,1,"19246","ENSMUST00000147210.7",-21456,"ENSMUSG00000027540","Ptpn1","protein tyrosine phosphatase, non-receptor type 1"
"24","chr7",130892824,130893699,876,"*","Exon (ENSMUST00000148513.1/101476, exon 5 of 5)",7,130896991,130905426,8436,1,"101476","ENSMUST00000149029.7",-3292,"ENSMUSG00000040268","Plekha1","pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1"
"25","chr3",88606958,88607856,899,"*","Promoter (<=1kb)",3,88607659,88617339,9681,1,"16800","ENSMUST00000175749.7",0,"ENSMUSG00000028059","Arhgef2","rho/rac guanine nucleotide exchange factor (GEF) 2"
"26","chr12",113424723,113425592,870,"*","Exon (ENSMUST00000174996.2/ENSMUST00000174996.2, exon 1 of 1)",12,113489511,113492057,2547,1,"238405","ENSMUST00000063317.3",-63919,"ENSMUSG00000051804","Adam6b","a disintegrin and metallopeptidase domain 6B"
"27","chr11",62549548,62550340,793,"*","Promoter (<=1kb)",11,62551171,62553213,2043,1,"22187","ENSMUST00000019649.3",-831,"ENSMUSG00000019505","Ubb","ubiquitin B"
"28","chr10",86475013,86476028,1016,"*","Intron (ENSMUST00000120638.7/27204, intron 1 of 13)",10,86070502,86491897,421396,2,"27204","ENSMUST00000145864.7",15869,"ENSMUSG00000059602","Syn3","synapsin III"
