"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr1",88635293,88636170,878,"*","Distal Intergenic",1,88698225,88702221,3997,2,"320982","ENSMUST00000159814.1",66051,"ENSMUSG00000049866","Arl4c","ADP-ribosylation factor-like 4C"
"2","chr18",82826103,82826506,404,"*","Distal Intergenic",18,82855894,82859227,3334,1,"73985","ENSMUST00000235556.1",-29388,"ENSMUSG00000097738","4930445N18Rik","RIKEN cDNA 4930445N18 gene"
"3","chr1",182527835,182528667,833,"*","Distal Intergenic",1,182483905,182517608,33704,2,"12334","ENSMUST00000192483.1",-10227,"ENSMUSG00000026509","Capn2","calpain 2"
"4","chr5",105868413,105869305,893,"*","Distal Intergenic",5,105876565,105914780,38216,1,"54367","ENSMUST00000150440.7",-7260,"ENSMUSG00000029290","Zfp326","zinc finger protein 326"
"5","chr8",35159044,35159896,853,"*","Distal Intergenic",8,34826460,34965690,139231,2,"21951","ENSMUST00000033929.5",-193354,"ENSMUSG00000031529","Tnks","tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase"
"6","chr3",32616218,32617053,836,"*","Promoter (<=1kb)",3,32580332,32616585,36254,2,"14696","ENSMUST00000155737.7",0,"ENSMUSG00000027669","Gnb4","guanine nucleotide binding protein (G protein), beta 4"
"7","chr18",32394071,32394892,822,"*","Intron (ENSMUST00000234857.1/30948, intron 1 of 13)",18,32407634,32419907,12274,1,"30948","ENSMUST00000234024.1",-12742,"ENSMUSG00000024381","Bin1","bridging integrator 1"
"8","chr1",87813360,87814277,918,"*","Promoter (1-2kb)",1,87812164,87824459,12296,1,"20215","ENSMUST00000144334.7",1196,"ENSMUSG00000056055","Sag","S-antigen, retina and pineal gland (arrestin)"
"9","chr4",99828834,99829760,927,"*","Promoter (<=1kb)",4,99829440,99831580,2141,1,"230500","ENSMUST00000124547.1",0,"ENSMUSG00000073791","Efcab7","EF-hand calcium binding domain 7"
"10","chr6",131261730,131262601,872,"*","Distal Intergenic",6,131219989,131247362,27374,2,"16633","ENSMUST00000088867.6",-14368,"ENSMUSG00000030187","Klra2","killer cell lectin-like receptor, subfamily A, member 2"
"11","chr10",20397984,20398890,907,"*","3' UTR",10,20348007,20360895,12889,1,"71804","ENSMUST00000213374.1",49977,"ENSMUSG00000019992","Mtfr2","mitochondrial fission regulator 2"
"12","chr10",111575693,111576617,925,"*","Distal Intergenic",10,111586719,111594273,7555,2,"71321","ENSMUST00000181547.1",17656,"ENSMUSG00000097082","4933440J02Rik","RIKEN cDNA 4933440J02 gene"
"13","chr3",40949223,40950129,907,"*","Promoter (<=1kb)",3,40949828,40977782,27955,1,"214048","ENSMUST00000048490.12",0,"ENSMUSG00000025762","Larp1b","La ribonucleoprotein domain family, member 1B"
"14","chr15",101159578,101160394,817,"*","Distal Intergenic",15,101174067,101213684,39618,1,"11479","ENSMUST00000000544.11",-13673,"ENSMUSG00000000532","Acvr1b","activin A receptor, type 1B"
"15","chr2",92370600,92371365,766,"*","Promoter (<=1kb)",2,92365046,92370986,5941,2,"228366","ENSMUST00000176774.7",0,"ENSMUSG00000040434","Large2","LARGE xylosyl- and glucuronyltransferase 2"
"16","chr4",95081382,95082171,790,"*","Intron (ENSMUST00000124166.7/ENSMUST00000124166.7, intron 2 of 4)",4,95049034,95052222,3189,2,"16476","ENSMUST00000107094.1",-29160,"ENSMUSG00000052684","Jun","jun proto-oncogene"
"17","chr5",74943773,74944691,919,"*","Distal Intergenic",5,74949190,74966368,17179,1,"619945","ENSMUST00000101121.2",-4499,"ENSMUSG00000072874","Gm6116","predicted gene 6116"
"18","chr18",61127312,61128213,902,"*","Exon (ENSMUST00000025523.12/12978, exon 16 of 22)",18,61132498,61137479,4982,2,"106894","ENSMUST00000237101.1",9266,"ENSMUSG00000024622","Hmgxb3","HMG box domain containing 3"
