"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr3",79173039,79173946,908,"*","Promoter (<=1kb)",3,79109066,79173198,64133,2,"76089","ENSMUST00000152275.7",0,"ENSMUSG00000062232","Rapgef2","Rap guanine nucleotide exchange factor (GEF) 2"
"2","chr3",108855417,108856237,821,"*","Promoter (2-3kb)",3,108856088,108858609,2522,2,"320181","ENSMUST00000151713.1",2372,"ENSMUSG00000045326","Fndc7","fibronectin type III domain containing 7"
"3","chr8",122144553,122145477,925,"*","Intron (ENSMUST00000127664.1/108148, intron 1 of 15)",8,122258620,122272650,14031,1,"195209","ENSMUST00000187142.2",-113143,"ENSMUSG00000043903","Zfp469","zinc finger protein 469"
"4","chr4",119966206,119967154,949,"*","Intron (ENSMUST00000143837.1/16656, intron 1 of 1)",4,120032766,120065063,32298,1,"16656","ENSMUST00000227491.1",-65612,"ENSMUSG00000028634","Hivep3","human immunodeficiency virus type I enhancer binding protein 3"
"5","chr11",63046122,63046945,824,"*","Distal Intergenic",11,63061654,63094964,33311,1,"71062","ENSMUST00000035732.4",-14709,"ENSMUSG00000042189","Tekt3","tektin 3"
"6","chr5",117158253,117159151,899,"*","Intron (ENSMUST00000111978.7/330177, intron 1 of 20)",5,117133641,117187448,53808,1,"330177","ENSMUST00000153709.1",24612,"ENSMUSG00000061288","Taok3","TAO kinase 3"
"7","chr5",90903233,90904102,870,"*","Promoter (<=1kb)",5,90903871,90905938,2068,1,"20310","ENSMUST00000200681.3",0,"ENSMUSG00000058427","Cxcl2","chemokine (C-X-C motif) ligand 2"
"8","chr11",68467815,68468552,738,"*","Intron (ENSMUST00000021283.7/320207, intron 1 of 18)",11,68473795,68496249,22455,1,"320207","ENSMUST00000126876.7",-5243,"ENSMUSG00000020901","Pik3r5","phosphoinositide-3-kinase regulatory subunit 5"
"9","chr14",61518516,61519380,865,"*","Intron (ENSMUST00000227369.1/75349, intron 2 of 3)",14,61492939,61527389,34451,1,"75349","ENSMUST00000227369.1",25577,"ENSMUSG00000115656","4930556J02Rik","RIKEN cDNA 4930556J02 gene"
"10","chr10",127631545,127632448,904,"*","Distal Intergenic",10,127587627,127621148,33522,2,"16971","ENSMUST00000125480.1",-10397,"ENSMUSG00000040249","Lrp1","low density lipoprotein receptor-related protein 1"
"11","chr5",105731147,105731996,850,"*","Promoter (<=1kb)",5,105731389,105811837,80449,1,"231549","ENSMUST00000156630.7",0,"ENSMUSG00000046079","Lrrc8d","leucine rich repeat containing 8D"
"12","chr6",120452928,120453739,812,"*","Distal Intergenic",6,120463247,120483729,20483,1,"16172","ENSMUST00000204239.2",-9508,"ENSMUSG00000002897","Il17ra","interleukin 17 receptor A"
"13","chr3",27209605,27210556,952,"*","Intron (ENSMUST00000046515.14/320024, intron 1 of 4)",3,27188441,27239584,51144,1,"320024","ENSMUST00000140872.1",21164,"ENSMUSG00000027698","Nceh1","neutral cholesterol ester hydrolase 1"
"14","chr2",165855547,165856473,927,"*","Promoter (1-2kb)",2,165784152,165858173,74022,2,"228880","ENSMUST00000109266.10",1700,"ENSMUSG00000039671","Zmynd8","zinc finger, MYND-type containing 8"
"15","chr7",118702847,118703761,915,"*","Promoter (1-2kb)",7,118689111,118705380,16270,2,"56209","ENSMUST00000132509.3",1619,"ENSMUSG00000033917","Gde1","glycerophosphodiester phosphodiesterase 1"
"16","chr2",165404976,165405791,816,"*","3' UTR",2,165406705,165409066,2362,2,"114644","ENSMUST00000145513.1",3275,"ENSMUSG00000018459","Slc13a3","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3"
"17","chr6",137582058,137582940,883,"*","Intron (ENSMUST00000058210.12/13860, intron 2 of 21)",6,137522862,137589026,66165,2,"13860","ENSMUST00000146442.3",6086,"ENSMUSG00000015766","Eps8","epidermal growth factor receptor pathway substrate 8"
"18","chr2",152105075,152105955,881,"*","Promoter (<=1kb)",2,152105516,152109211,3696,1,"76650","ENSMUST00000137751.1",0,"ENSMUSG00000032802","Srxn1","sulfiredoxin 1 homolog (S. cerevisiae)"
"19","chr3",88502981,88503912,932,"*","Promoter (<=1kb)",3,88481148,88503335,22188,2,"16905","ENSMUST00000029699.12",0,"ENSMUSG00000028063","Lmna","lamin A"
"20","chr4",120032169,120033101,933,"*","Promoter (<=1kb)",4,120032766,120065063,32298,1,"16656","ENSMUST00000227491.1",0,"ENSMUSG00000028634","Hivep3","human immunodeficiency virus type I enhancer binding protein 3"
"21","chr10",59221325,59222235,911,"*","Promoter (<=1kb)",10,59141627,59221847,80221,2,"103080","ENSMUST00000220156.1",0,"ENSMUSG00000019917","Septin10","septin 10"
"22","chr5",24266178,24267102,925,"*","Distal Intergenic",5,24320083,24322254,2172,2,"16511","ENSMUST00000129246.1",55152,"ENSMUSG00000038319","Kcnh2","potassium voltage-gated channel, subfamily H (eag-related), member 2"
"23","chr9",62811448,62812308,861,"*","Promoter (<=1kb)",9,62791821,62811934,20114,2,"14155","ENSMUST00000034775.9",0,"ENSMUSG00000032244","Fem1b","fem 1 homolog b"
