"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr17",28751621,28752427,807,"*","Distal Intergenic",17,28741619,28746357,4739,1,"26416","ENSMUST00000151613.1",10002,"ENSMUSG00000053436","Mapk14","mitogen-activated protein kinase 14"
"2","chr9",48423220,48424033,814,"*","Exon (ENSMUST00000209981.2/ENSMUST00000209981.2, exon 2 of 4)",9,48389851,48399903,10053,1,"244853","ENSMUST00000217002.1",33369,"ENSMUSG00000044229","Nxpe4","neurexophilin and PC-esterase domain family, member 4"
"3","chr14",73433295,73434160,866,"*","Distal Intergenic",14,73362226,73385289,23064,2,"16432","ENSMUST00000022704.8",-48006,"ENSMUSG00000022108","Itm2b","integral membrane protein 2B"
"4","chr13",119598545,119599157,613,"*","Intron (ENSMUST00000223912.1/633640, intron 1 of 2)",13,119606650,119610458,3809,1,"633640","ENSMUST00000178948.1",-7493,"ENSMUSG00000074634","Tmem267","transmembrane protein 267"
"5","chr10",75835178,75836030,853,"*","Promoter (<=1kb)",10,75831845,75834881,3037,2,"14872","ENSMUST00000038257.6",-297,"ENSMUSG00000033318","Gstt2","glutathione S-transferase, theta 2"
"6","chr6",142869970,142870750,781,"*","Intron (ENSMUST00000032421.3/20449, intron 3 of 4)",6,142828861,142883040,54180,2,"20449","ENSMUST00000147058.1",12290,"ENSMUSG00000030283","St8sia1","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
"7","chr16",49951723,49952603,881,"*","Distal Intergenic",16,49866833,49911091,44259,1,"16423","ENSMUST00000229104.1",84890,"ENSMUSG00000055447","Cd47","CD47 antigen (Rh-related antigen, integrin-associated signal transducer)"
"8","chr12",112849059,112849917,859,"*","Distal Intergenic",12,112850873,112860952,10080,2,"56696","ENSMUST00000021729.8",11035,"ENSMUSG00000021298","Gpr132","G protein-coupled receptor 132"
"9","chr2",158145074,158145895,822,"*","Promoter (<=1kb)",2,158130380,158146366,15987,2,"21817","ENSMUST00000140923.7",471,"ENSMUSG00000037820","Tgm2","transglutaminase 2, C polypeptide"
"10","chr7",121707012,121707816,805,"*","Promoter (<=1kb)",7,121642021,121707253,65233,2,"76179","ENSMUST00000046929.6",0,"ENSMUSG00000063317","Usp31","ubiquitin specific peptidase 31"
"11","chr11",24142133,24142852,720,"*","Promoter (<=1kb)",11,24142379,24163291,20913,1,"14025","ENSMUST00000127494.1",0,"ENSMUSG00000000861","Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein)"
"12","chr4",129790382,129791111,730,"*","Distal Intergenic",4,129811219,129839232,28014,1,"19244","ENSMUST00000132386.1",-20108,"ENSMUSG00000028788","Ptp4a2","protein tyrosine phosphatase 4a2"
"13","chr2",52997710,52998606,897,"*","Intron (ENSMUST00000155586.8/71409, intron 1 of 26)",2,52857868,53131878,274011,1,"71409","ENSMUST00000050719.12",139842,"ENSMUSG00000036053","Fmnl2","formin-like 2"
"14","chr3",8664304,8665202,899,"*","Promoter (1-2kb)",3,8664796,8666625,1830,2,"15213","ENSMUST00000192102.1",1423,"ENSMUSG00000040289","Hey1","hairy/enhancer-of-split related with YRPW motif 1"
"15","chr17",24719530,24720448,919,"*","Promoter (<=1kb)",17,24719676,24719803,128,2,"100306952","ENSMUST00000158630.1",0,"ENSMUSG00000089255","Snora78","small nucleolar RNA, H/ACA box 7"
