"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr6",134225271,134226044,774,"*","Intron (ENSMUST00000081028.12/14011, intron 3 of 7)",6,134233600,134262019,28420,1,"14011","ENSMUST00000169529.1",-7556,"ENSMUSG00000030199","Etv6","ets variant 6"
"2","chr1",74248582,74249452,871,"*","Intron (ENSMUST00000113820.8/76709, intron 4 of 10)",1,74236550,74267988,31439,1,"76709","ENSMUST00000113819.1",12032,"ENSMUSG00000006304","Arpc2","actin related protein 2/3 complex, subunit 2"
"3","chr19",38093129,38094046,918,"*","Distal Intergenic",19,38097071,38114263,17193,1,"107221","ENSMUST00000067098.7",-3025,"ENSMUSG00000054200","Ffar4","free fatty acid receptor 4"
"4","chr5",64835253,64835928,676,"*","Distal Intergenic",5,64826809,64829550,2742,1,"16599","ENSMUST00000198946.1",8444,"ENSMUSG00000029178","Klf3","Kruppel-like factor 3 (basic)"
"5","chr12",73880145,73880988,844,"*","Intron (ENSMUST00000221427.1/ENSMUST00000221427.1, intron 1 of 2)",12,73901375,73947530,46156,1,"15251","ENSMUST00000110461.7",-20387,"ENSMUSG00000021109","Hif1a","hypoxia inducible factor 1, alpha subunit"
"6","chr11",70945023,70945950,928,"*","Promoter (<=1kb)",11,70943879,70945100,1222,2,"19069","ENSMUST00000141179.7",0,"ENSMUSG00000040667","Nup88","nucleoporin 88"
"7","chr10",93757102,93757825,724,"*","Distal Intergenic",10,93831555,93848538,16984,1,"327799","ENSMUST00000095333.5",-73730,"ENSMUSG00000020020","Usp44","ubiquitin specific peptidase 44"
"8","chr1",131560423,131561320,898,"*","Distal Intergenic",1,131527903,131539872,11970,1,"108900","ENSMUST00000068613.4",32520,"ENSMUSG00000055184","Fam72a","family with sequence similarity 72, member A"
"9","chr5",118027439,118028228,790,"*","Promoter (<=1kb)",5,118027743,118061878,34136,1,"57816","ENSMUST00000031304.13",0,"ENSMUSG00000029359","Tesc","tescalcin"
"10","chr11",97840722,97841413,692,"*","Promoter (<=1kb)",11,97840780,97843043,2264,1,"68127","ENSMUST00000054783.4",0,NA,"B230217C12Rik","RIKEN cDNA B230217C12 gene"
"11","chr3",96244820,96245669,850,"*","Promoter (<=1kb)",3,96245554,96248509,2956,1,"15077","ENSMUST00000090779.3",0,"ENSMUSG00000093769","H3c14","H3 clustered histone 14"
"12","chr1",151214575,151215425,851,"*","Distal Intergenic",1,151138034,151142345,4312,1,"402734","ENSMUST00000188305.1",76541,NA,"C730036E19Rik","RIKEN cDNA C730036E19 gene"
"13","chr1",128832279,128833172,894,"*","Distal Intergenic",1,128589099,128592293,3195,2,"12767","ENSMUST00000142893.1",-239986,"ENSMUSG00000045382","Cxcr4","chemokine (C-X-C motif) receptor 4"
"14","chr7",19895926,19896786,861,"*","Distal Intergenic",7,19875742,19887965,12224,2,"319930","ENSMUST00000052605.7",-7961,"ENSMUSG00000049848","Ceacam19","carcinoembryonic antigen-related cell adhesion molecule 19"
"15","chr16",52060995,52061745,751,"*","Intron (ENSMUST00000114471.2/208650, intron 3 of 17)",16,52049653,52205385,155733,1,"208650","ENSMUST00000227756.1",11342,"ENSMUSG00000022637","Cblb","Casitas B-lineage lymphoma b"
