"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr7",112332198,112333096,899,"*","Intron (ENSMUST00000050149.11/320878, intron 17 of 19)",7,112346729,112355194,8466,1,"320878","ENSMUST00000144509.1",-13633,"ENSMUSG00000038244","Mical2","microtubule associated monooxygenase, calponin and LIM domain containing 2"
"2","chr14",118658000,118658911,912,"*","Intron (ENSMUST00000036554.13/239273, intron 3 of 30)",14,118483811,118676931,193121,2,"239273","ENSMUST00000226703.1",18020,"ENSMUSG00000032849","Abcc4","ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
"3","chr1",120135990,120136905,916,"*","Intron (ENSMUST00000027637.12/73103, intron 1 of 4)",1,120150599,120165459,14861,1,"73103","ENSMUST00000187809.1",-13694,"ENSMUSG00000026388","3110009E18Rik","RIKEN cDNA 3110009E18 gene"
"4","chr18",24653340,24654218,879,"*","Promoter (<=1kb)",18,24653691,24701575,47885,1,"68591","ENSMUST00000068006.8",0,"ENSMUSG00000039616","Mocos","molybdenum cofactor sulfurase"
"5","chr13",102745497,102746345,849,"*","Intron (ENSMUST00000166726.7/328329, intron 25 of 26)",13,102760255,102761896,1642,1,"76624","ENSMUST00000171722.1",-13910,"ENSMUSG00000091906","1700099I09Rik","RIKEN cDNA 1700099I09 gene"
"6","chr10",77210946,77211854,909,"*","Distal Intergenic",10,77052178,77166548,114371,2,"12822","ENSMUST00000081654.12",-44398,"ENSMUSG00000001435","Col18a1","collagen, type XVIII, alpha 1"
"7","chr14",31572669,31573583,915,"*","Intron (ENSMUST00000112027.8/382864, intron 1 of 16)",14,31523082,31577383,54302,2,"382864","ENSMUST00000112027.8",3800,"ENSMUSG00000057606","Colq","collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase"
"8","chr12",86790271,86791171,901,"*","Distal Intergenic",12,86741007,86754394,13388,1,"627607","ENSMUST00000223197.1",49264,"ENSMUSG00000059114","Lrrc74a","leucine rich repeat containing 74A"
"9","chr8",40598364,40599194,831,"*","Intron (ENSMUST00000048890.16/54384, intron 3 of 14)",8,40553858,40590514,36657,2,"54384","ENSMUST00000173487.7",-7850,"ENSMUSG00000039431","Mtmr7","myotubularin related protein 7"
"10","chr16",12040695,12041551,857,"*","Intron (ENSMUST00000170672.8/72555, intron 2 of 4)",16,11984720,11995396,10677,1,"72555","ENSMUST00000229804.1",55975,"ENSMUSG00000022494","Shisa9","shisa family member 9"
