"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr1",152024970,152025857,888,"*","Intron (ENSMUST00000187603.6/69399, intron 1 of 6)",1,151893237,152055292,162056,2,"69399","ENSMUST00000121533.2",29435,"ENSMUSG00000032666","1700025G04Rik","RIKEN cDNA 1700025G04 gene"
"2","chr15",59802181,59803074,894,"*","Distal Intergenic",15,59788417,59794959,6543,2,"100503021","ENSMUST00000228865.1",-7222,"ENSMUSG00000115426","Gm19510","predicted gene, 19510"
"3","chr4",123025910,123026824,915,"*","Intron (ENSMUST00000102649.3/66966, intron 1 of 10)",4,123016597,123054949,38353,1,"66966","ENSMUST00000147165.7",9313,"ENSMUSG00000028653","Trit1","tRNA isopentenyltransferase 1"
"4","chr9",45121896,45122656,761,"*","Intron (ENSMUST00000170998.8/72821, intron 1 of 3)",9,45117881,45130068,12188,1,"72821","ENSMUST00000093855.3",4015,"ENSMUSG00000070304","Scn2b","sodium channel, voltage-gated, type II, beta"
"5","chr13",23716030,23716971,942,"*","Distal Intergenic",13,23702034,23710854,8821,2,"15216","ENSMUST00000091706.13",-5176,"ENSMUSG00000006611","Hfe","homeostatic iron regulator"
"6","chr18",66453061,66453961,901,"*","Distal Intergenic",18,66458533,66465560,7028,1,"58801","ENSMUST00000025399.8",-4572,"ENSMUSG00000024521","Pmaip1","phorbol-12-myristate-13-acetate-induced protein 1"
"7","chr13",13523785,13524614,830,"*","Distal Intergenic",13,13508712,13510348,1637,1,"18073","ENSMUST00000222436.1",15073,"ENSMUSG00000005397","Nid1","nidogen 1"
"8","chr4",135941887,135942811,925,"*","Distal Intergenic",4,135946448,135962617,16170,1,"15356","ENSMUST00000030432.7",-3637,"ENSMUSG00000028672","Hmgcl","3-hydroxy-3-methylglutaryl-Coenzyme A lyase"
"9","chr4",63400919,63401614,696,"*","Promoter (1-2kb)",4,63367125,63403354,36230,2,"100182","ENSMUST00000035724.4",1740,"ENSMUSG00000039158","Akna","AT-hook transcription factor"
"10","chr12",40140468,40141366,899,"*","Distal Intergenic",12,40059773,40134228,74456,2,"20259","ENSMUST00000002640.5",-6240,"ENSMUSG00000002565","Scin","scinderin"
"11","chr17",8195431,8196313,883,"*","3' UTR",17,8182247,8194945,12699,1,"75296","ENSMUST00000161898.1",13184,"ENSMUSG00000069135","Cep43","centrosomal protein 43"
"12","chr4",43427283,43428197,915,"*","Promoter (<=1kb)",4,43427140,43428027,888,2,"329831","ENSMUST00000155080.8",0,"ENSMUSG00000042788","Fam166b","family with sequence similarity 166, member B"
"13","chr5",149274456,149275354,899,"*","Intron (ENSMUST00000071130.4/11690, intron 2 of 4)",5,149279011,149287750,8740,1,"11690","ENSMUST00000200928.1",-3657,"ENSMUSG00000060063","Alox5ap","arachidonate 5-lipoxygenase activating protein"
"14","chr2",28401606,28402494,889,"*","Distal Intergenic",2,28446800,28450506,3707,1,"241289","ENSMUST00000128199.7",-44306,"ENSMUSG00000035829","Ppp1r26","protein phosphatase 1, regulatory subunit 26"
"15","chr13",98832215,98833077,863,"*","Distal Intergenic",13,98753840,98815449,61610,2,"218503","ENSMUST00000109403.1",-16766,"ENSMUSG00000041685","Fcho2","FCH domain only 2"
"16","chr17",26422120,26423023,904,"*","Intron (ENSMUST00000182897.7/240055, intron 1 of 3)",17,26414965,26446349,31385,1,"240055","ENSMUST00000053020.7",7155,"ENSMUSG00000034413","Neurl1b","neuralized E3 ubiquitin protein ligase 1B"
"17","chr12",119483677,119484563,887,"*","Distal Intergenic",12,119443410,119466934,23525,1,"238455","ENSMUST00000048880.6",40267,"ENSMUSG00000041886","Macc1","metastasis associated in colon cancer 1"
"18","chr2",6459193,6460002,810,"*","Distal Intergenic",2,6420922,6424835,3914,1,"98910","ENSMUST00000150515.1",38271,"ENSMUSG00000039046","Usp6nl","USP6 N-terminal like"
"19","chr16",23271821,23272725,905,"*","Promoter (2-3kb)",16,23269629,23321179,51551,1,"20440","ENSMUST00000128050.7",2192,"ENSMUSG00000022885","St6gal1","beta galactoside alpha 2,6 sialyltransferase 1"
"20","chr1",36960513,36961356,844,"*","Distal Intergenic",1,36841672,36943666,101995,2,"56030","ENSMUST00000185964.2",-16847,"ENSMUSG00000026116","Tmem131","transmembrane protein 131"
"21","chr16",43654862,43655873,1012,"*","Intron (ENSMUST00000096065.5/100043314, intron 3 of 3)",16,43648867,43664146,15280,2,"100043314","ENSMUST00000096065.5",8273,"ENSMUSG00000071552","Tigit","T cell immunoreceptor with Ig and ITIM domains"
"22","chr14",67940747,67941651,905,"*","Distal Intergenic",14,67815570,67933442,117873,2,"68813","ENSMUST00000224823.1",-7305,"ENSMUSG00000044447","Dock5","dedicator of cytokinesis 5"
"23","chr17",12307385,12308279,895,"*","Promoter (<=1kb)",17,12272192,12308584,36393,2,"26407","ENSMUST00000233012.1",305,"ENSMUSG00000014426","Map3k4","mitogen-activated protein kinase kinase kinase 4"
"24","chr10",96374125,96375052,928,"*","Distal Intergenic",10,96226207,96248708,22502,1,"74881","ENSMUST00000218720.1",147918,"ENSMUSG00000112762","4930459C07Rik","RIKEN cDNA 4930459C07 gene"
"25","chr4",118295543,118296497,955,"*","Distal Intergenic",4,118208213,118291405,83193,2,"19268","ENSMUST00000049074.12",-4138,"ENSMUSG00000033295","Ptprf","protein tyrosine phosphatase, receptor type, F"
"26","chr5",66004850,66005797,948,"*","Promoter (<=1kb)",5,65999678,66004285,4608,2,"231253","ENSMUST00000201386.1",-565,"ENSMUSG00000054598","9130230L23Rik","RIKEN cDNA 9130230L23 gene"
"27","chr6",47888560,47889473,914,"*","Intron (ENSMUST00000061890.7/101095, intron 2 of 7)",6,47877656,47892813,15158,1,"101095","ENSMUST00000125957.1",10904,"ENSMUSG00000025821","Zfp282","zinc finger protein 282"
"28","chr16",10417615,10418518,904,"*","Promoter (2-3kb)",16,10421236,10423346,2111,1,"26425","ENSMUST00000143617.1",-2718,"ENSMUSG00000022503","Nubp1","nucleotide binding protein 1"
"29","chr6",87808960,87809863,904,"*","Promoter (<=1kb)",6,87788853,87809754,20902,2,"69834","ENSMUST00000032134.8",0,"ENSMUSG00000030055","Rab43","RAB43, member RAS oncogene family"
