"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr8",95012245,95013158,914,"*","3' UTR",8,95017692,95045250,27559,1,"54672","ENSMUST00000051259.9",-4534,"ENSMUSG00000060470","Adgrg3","adhesion G protein-coupled receptor G3"
"2","chr9",71696719,71697663,945,"*","Intron (ENSMUST00000072899.8/68178, intron 8 of 18)",9,71632633,71648350,15718,2,"68178","ENSMUST00000146567.1",-48369,"ENSMUSG00000032232","Cgnl1","cingulin-like 1"
"3","chr2",30926953,30927841,889,"*","Intron (ENSMUST00000132244.1/ENSMUST00000132244.1, intron 1 of 2)",2,30889471,30903297,13827,2,"64292","ENSMUST00000102852.5",-23656,"ENSMUSG00000050737","Ptges","prostaglandin E synthase"
"4","chr12",8831486,8832380,895,"*","Distal Intergenic",12,8771803,8790448,18646,1,"20969","ENSMUST00000160348.1",59683,"ENSMUSG00000020592","Sdc1","syndecan 1"
"5","chr1",163382093,163382942,850,"*","Distal Intergenic",1,163394416,163403611,9196,2,"98376","ENSMUST00000185299.1",20669,"ENSMUSG00000040124","Gorab","golgin, RAB6-interacting"
"6","chr2",30924833,30925747,915,"*","Intron (ENSMUST00000132244.1/ENSMUST00000132244.1, intron 1 of 2)",2,30889471,30903297,13827,2,"64292","ENSMUST00000102852.5",-21536,"ENSMUSG00000050737","Ptges","prostaglandin E synthase"
"7","chr17",45798451,45799365,915,"*","Distal Intergenic",17,45767195,45781247,14053,1,"433111","ENSMUST00000233473.1",31256,"ENSMUSG00000097727","F630040K05Rik","RIKEN cDNA F630040K05 gene"
"8","chr6",108665298,108666179,882,"*","3' UTR",6,108577039,108660934,83896,2,"75394","ENSMUST00000137478.3",-4364,"ENSMUSG00000087341","0610040F04Rik","RIKEN cDNA 0610040F04 gene"
"9","chr10",62299895,62300786,892,"*","Intron (ENSMUST00000099691.10/15275, intron 3 of 17)",10,62284609,62290329,5721,2,"15275","ENSMUST00000161160.1",-9566,"ENSMUSG00000037012","Hk1","hexokinase 1"
"10","chr6",108688113,108689013,901,"*","Distal Intergenic",6,108577039,108660934,83896,2,"75394","ENSMUST00000137478.3",-27179,"ENSMUSG00000087341","0610040F04Rik","RIKEN cDNA 0610040F04 gene"
"11","chr7",101466232,101467175,944,"*","Intron (ENSMUST00000084894.14/207728, intron 3 of 31)",7,101460944,101494680,33737,1,"207728","ENSMUST00000210535.1",5288,"ENSMUSG00000030653","Pde2a","phosphodiesterase 2A, cGMP-stimulated"
"12","chr12",8826798,8827678,881,"*","Distal Intergenic",12,8771803,8790448,18646,1,"20969","ENSMUST00000160348.1",54995,"ENSMUSG00000020592","Sdc1","syndecan 1"
"13","chr18",5414168,5415066,899,"*","Distal Intergenic",18,5210124,5334807,124684,2,"240186","ENSMUST00000234241.1",-79361,"ENSMUSG00000050945","Zfp438","zinc finger protein 438"
"14","chr10",120627788,120628702,915,"*","Distal Intergenic",10,120765732,120774481,8750,1,"70874","ENSMUST00000219219.1",-137030,"ENSMUSG00000044544","4921513I03Rik","RIKEN cDNA 4921513I03 gene"
"15","chr14",31495984,31496807,824,"*","Promoter (<=1kb)",14,31495196,31500475,5280,1,"74427","ENSMUST00000228952.1",788,"ENSMUSG00000021890","Eaf1","ELL associated factor 1"
"16","chr10",93945695,93946618,924,"*","Intron (ENSMUST00000148450.7/215008, intron 2 of 2)",10,93963768,93963863,96,2,"723908","ENSMUST00000083673.1",17245,"ENSMUSG00000065607","Mir331","microRNA 331"
"17","chr12",52850326,52851237,912,"*","Intron (ENSMUST00000095737.4/238161, intron 2 of 13)",12,52795836,53148763,352928,1,"238161","ENSMUST00000219786.1",54490,"ENSMUSG00000061603","Akap6","A kinase (PRKA) anchor protein 6"
"18","chr6",100509463,100510345,883,"*","Distal Intergenic",6,100527400,100533426,6027,1,"73395","ENSMUST00000187986.1",-17055,"ENSMUSG00000101553","1700049E22Rik","RIKEN cDNA 1700049E22 gene"
"19","chr8",22692972,22693883,912,"*","Promoter (<=1kb)",8,22682757,22694065,11309,2,"16150","ENSMUST00000131767.1",182,"ENSMUSG00000031537","Ikbkb","inhibitor of kappaB kinase beta"
"20","chr13",51404328,51405155,828,"*","Intron (ENSMUST00000222417.1/ENSMUST00000222417.1, intron 1 of 2)",13,51408639,51422797,14159,1,"13610","ENSMUST00000087978.4",-3484,"ENSMUSG00000067586","S1pr3","sphingosine-1-phosphate receptor 3"
"21","chr3",79551778,79552693,916,"*","Exon (ENSMUST00000161319.1/ENSMUST00000161319.1, exon 1 of 2)",3,79505943,79567679,61737,2,"329679","ENSMUST00000139171.1",14986,"ENSMUSG00000061175","Fnip2","folliculin interacting protein 2"
"22","chr19",11812831,11813750,920,"*","Intron (ENSMUST00000075304.13/20908, intron 1 of 10)",19,11781597,11818721,37125,2,"20908","ENSMUST00000211047.1",4971,"ENSMUSG00000041488","Stx3","syntaxin 3"
"23","chr12",8805136,8805966,831,"*","Distal Intergenic",12,8771803,8790448,18646,1,"20969","ENSMUST00000160348.1",33333,"ENSMUSG00000020592","Sdc1","syndecan 1"
"24","chr3",68632322,68633183,862,"*","Distal Intergenic",3,68584179,68626464,42286,1,"30953","ENSMUST00000182997.2",48143,"ENSMUSG00000027777","Schip1","schwannomin interacting protein 1"
"25","chr18",5404397,5405263,867,"*","Distal Intergenic",18,5210124,5334807,124684,2,"240186","ENSMUST00000234241.1",-69590,"ENSMUSG00000050945","Zfp438","zinc finger protein 438"
