"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr10",78086669,78087424,756,"*","Distal Intergenic",10,78073339,78079525,6187,1,"50723","ENSMUST00000219633.1",13330,"ENSMUSG00000000732","Icosl","icos ligand"
"2","chr4",133659487,133660435,949,"*","3' UTR",4,133627277,133650154,22878,2,"503610","ENSMUST00000146464.1",-9333,"ENSMUSG00000037553","Zdhhc18","zinc finger, DHHC domain containing 18"
"3","chr2",128008518,128009455,938,"*","Intron (ENSMUST00000028859.7/74121, intron 11 of 17)",2,127909058,128123508,214451,1,"74121","ENSMUST00000110344.1",99460,"ENSMUSG00000027380","Acoxl","acyl-Coenzyme A oxidase-like"
"4","chr16",23279640,23280494,855,"*","Intron (ENSMUST00000023601.13/20440, intron 2 of 7)",16,23290470,23358595,68126,1,"20440","ENSMUST00000115335.1",-9976,"ENSMUSG00000022885","St6gal1","beta galactoside alpha 2,6 sialyltransferase 1"
"5","chr3",95433913,95434817,905,"*","Promoter (<=1kb)",3,95434388,95491622,57235,1,"11863","ENSMUST00000147765.7",0,"ENSMUSG00000015522","Arnt","aryl hydrocarbon receptor nuclear translocator"
"6","chr11",118362838,118363731,894,"*","Distal Intergenic",11,118303701,118355740,52040,2,"21858","ENSMUST00000155707.2",-7098,"ENSMUSG00000017466","Timp2","tissue inhibitor of metalloproteinase 2"
"7","chr7",98534244,98535085,842,"*","Distal Intergenic",7,98494222,98501831,7610,1,"434215","ENSMUST00000165205.1",40022,"ENSMUSG00000090958","Lrrc32","leucine rich repeat containing 32"
"8","chr2",73053766,73054671,906,"*","Distal Intergenic",2,72987241,72988607,1367,1,"100503849","ENSMUST00000137941.1",66525,NA,"Sp3os","trans-acting transcription factor 3, opposite strand"
"9","chr5",135478868,135479800,933,"*","Intron (ENSMUST00000060311.11/215114, intron 1 of 30)",5,135449749,135489258,39510,2,"215114","ENSMUST00000201998.1",9458,"ENSMUSG00000039959","Hip1","huntingtin interacting protein 1"
"10","chr8",27260902,27261743,842,"*","Promoter (<=1kb)",8,27260329,27276674,16346,1,"13685","ENSMUST00000033880.6",573,"ENSMUSG00000031490","Eif4ebp1","eukaryotic translation initiation factor 4E binding protein 1"
"11","chr11",57644924,57645761,838,"*","Promoter (<=1kb)",11,57645442,57787514,142073,1,"171212","ENSMUST00000066987.13",0,"ENSMUSG00000020520","Galnt10","polypeptide N-acetylgalactosaminyltransferase 10"
