"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr5",123128509,123129273,765,"*","Intron (ENSMUST00000186469.6/23912, intron 2 of 5)",5,123103044,123132396,29353,2,"23912","ENSMUST00000186469.6",3123,"ENSMUSG00000029449","Rhof","ras homolog family member F (in filopodia)"
"2","chr15",81300867,81301758,892,"*","Intron (ENSMUST00000230042.1/78102, intron 1 of 3)",15,81250028,81312866,62839,2,"78102","ENSMUST00000230042.1",11108,"ENSMUSG00000115970","8430426J06Rik","RIKEN cDNA 8430426J06 gene"
"3","chr4",129574956,129575881,926,"*","Promoter (1-2kb)",4,129548349,129573641,25293,2,"16818","ENSMUST00000102596.7",-1315,"ENSMUSG00000000409","Lck","lymphocyte protein tyrosine kinase"
"4","chr5",137628494,137629392,899,"*","Promoter (<=1kb)",5,137629175,137642899,13725,1,"100316903","ENSMUST00000177545.1",0,NA,"Gm20605","predicted gene 20605"
"5","chr19",46328027,46328899,873,"*","Promoter (<=1kb)",19,46328184,46330446,2263,1,"68431","ENSMUST00000026256.8",0,"ENSMUSG00000025226","Fbxl15","F-box and leucine-rich repeat protein 15"
"6","chr10",19014977,19015868,892,"*","Promoter (<=1kb)",10,19000910,19015410,14501,2,"21929","ENSMUST00000019997.10",0,"ENSMUSG00000019850","Tnfaip3","tumor necrosis factor, alpha-induced protein 3"
"7","chr18",75278706,75279533,828,"*","Intron (ENSMUST00000039608.8/69190, intron 16 of 16)",18,75288655,75297317,8663,2,"100503117","ENSMUST00000190465.1",17784,"ENSMUSG00000102047","2010010A06Rik","RIKEN cDNA 2010010A06 gene"
"8","chr15",73090237,73091087,851,"*","Promoter (<=1kb)",15,73090392,73094075,3684,1,"93696","ENSMUST00000089765.8",0,"ENSMUSG00000068391","Chrac1","chromatin accessibility complex 1"
"9","chr4",145240536,145241471,936,"*","Intron (ENSMUST00000030336.10/21938, intron 1 of 9)",4,145213463,145246870,33408,2,"21938","ENSMUST00000030336.10",5399,"ENSMUSG00000028599","Tnfrsf1b","tumor necrosis factor receptor superfamily, member 1b"
"10","chr5",124035581,124036439,859,"*","Intron (ENSMUST00000196486.1/ENSMUST00000196486.1, intron 1 of 4)",5,124004641,124032270,27630,2,"330192","ENSMUST00000040967.8",-3311,"ENSMUSG00000066278","Vps37b","vacuolar protein sorting 37B"
"11","chr1",161766665,161767580,916,"*","Distal Intergenic",1,161780689,161788495,7807,2,"14103","ENSMUST00000000834.3",20915,"ENSMUSG00000000817","Fasl","Fas ligand (TNF superfamily, member 6)"
