"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr18",35920313,35920853,541,"*","Distal Intergenic",18,35964830,36014712,49883,1,"74002","ENSMUST00000115716.8",-43977,"ENSMUSG00000024347","Psd2","pleckstrin and Sec7 domain containing 2"
"2","chr15",97824830,97825683,854,"*","Intron (ENSMUST00000079838.13/56233, intron 1 of 24)",15,97797799,97831469,33671,2,"56233","ENSMUST00000156045.7",5786,"ENSMUSG00000022475","Hdac7","histone deacetylase 7"
"3","chr2",128828334,128829133,800,"*","Exon (ENSMUST00000110325.7/72477, exon 5 of 19)",2,128818384,128851792,33409,1,"72477","ENSMUST00000152210.1",9950,"ENSMUSG00000014353","Tmem87b","transmembrane protein 87B"
"4","chr13",51400921,51401743,823,"*","Intron (ENSMUST00000222417.1/ENSMUST00000222417.1, intron 1 of 2)",13,51408639,51422797,14159,1,"13610","ENSMUST00000087978.4",-6896,"ENSMUSG00000067586","S1pr3","sphingosine-1-phosphate receptor 3"
"5","chr18",83947319,83948231,913,"*","Distal Intergenic",18,84015818,84085075,69258,2,"110796","ENSMUST00000235188.1",136844,"ENSMUSG00000046982","Tshz1","teashirt zinc finger family member 1"
"6","chr12",35038702,35039545,844,"*","Distal Intergenic",12,35047186,35068874,21689,1,"217463","ENSMUST00000221831.1",-7641,"ENSMUSG00000020590","Snx13","sorting nexin 13"
"7","chr4",135241580,135242134,555,"*","Intron (ENSMUST00000037099.8/29876, intron 1 of 5)",4,135213969,135272814,58846,2,"29876","ENSMUST00000037099.8",30680,"ENSMUSG00000037242","Clic4","chloride intracellular channel 4 (mitochondrial)"
"8","chr11",95414504,95415244,741,"*","Promoter (<=1kb)",11,95414243,95474335,60093,1,"20747","ENSMUST00000127713.1",261,"ENSMUSG00000057522","Spop","speckle-type BTB/POZ protein"
"9","chr14",19705360,19706197,838,"*","Distal Intergenic",14,19751265,19811787,60523,1,"18074","ENSMUST00000022340.4",-45068,"ENSMUSG00000021806","Nid2","nidogen 2"
"10","chr6",8686938,8687815,878,"*","Intron (ENSMUST00000156695.7/15893, intron 5 of 10)",6,8658991,8672317,13327,2,"15893","ENSMUST00000127398.7",-14621,"ENSMUSG00000062995","Ica1","islet cell autoantigen 1"
"11","chr9",96364040,96364807,768,"*","Promoter (<=1kb)",9,96332655,96364442,31788,2,"11933","ENSMUST00000034983.6",0,"ENSMUSG00000032412","Atp1b3","ATPase, Na+/K+ transporting, beta 3 polypeptide"
"12","chr8",123600379,123601199,821,"*","Intron (ENSMUST00000127664.1/108148, intron 1 of 15)",8,123565969,123566087,119,2,"100861494","ENSMUST00000179081.1",-34292,"ENSMUSG00000118747","Gm22109","predicted gene, 22109"
"13","chr2",153929704,153930560,857,"*","Exon (ENSMUST00000088950.7/378700, exon 13 of 16)",2,153938212,153942601,4390,1,"381399","ENSMUST00000155239.1",-7652,"ENSMUSG00000074665","Bpifb4","BPI fold containing family B, member 4"
"14","chr6",30205351,30206237,887,"*","Distal Intergenic",6,30169668,30169737,70,2,"387178","ENSMUST00000083685.2",-35614,"ENSMUSG00000065619","Mir183","microRNA 183"
"15","chr17",87971701,87972606,906,"*","Promoter (2-3kb)",17,87975062,87990892,15831,1,"17688","ENSMUST00000005503.4",-2456,"ENSMUSG00000005370","Msh6","mutS homolog 6"
"16","chr5",90785567,90786487,921,"*","Promoter (<=1kb)",5,90786103,90788093,1991,1,"330122","ENSMUST00000031326.9",0,"ENSMUSG00000029379","Cxcl3","chemokine (C-X-C motif) ligand 3"
"17","chr15",101297869,101298668,800,"*","Distal Intergenic",15,101293232,101297426,4195,1,"77717","ENSMUST00000191426.1",4637,"ENSMUSG00000075408","Smim41","small integral membrane protein 41"
