"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr5",130089225,130090115,891,"*","Intron (ENSMUST00000118993.7/22021, intron 1 of 5)",5,130093589,130102050,8462,1,"22021","ENSMUST00000142838.1",-3474,"ENSMUSG00000034118","Tpst1","protein-tyrosine sulfotransferase 1"
"2","chr2",119242039,119242960,922,"*","Intron (ENSMUST00000028783.13/20732, intron 2 of 10)",2,119246373,119248902,2530,1,"20732","ENSMUST00000139903.1",-3413,"ENSMUSG00000027315","Spint1","serine protease inhibitor, Kunitz type 1"
"3","chr1",133815526,133816367,842,"*","Distal Intergenic",1,133699457,133801041,101585,2,"381290","ENSMUST00000143567.7",-14485,"ENSMUSG00000026463","Atp2b4","ATPase, Ca++ transporting, plasma membrane 4"
"4","chr11",76482034,76482854,821,"*","Intron (ENSMUST00000094012.10/109934, intron 2 of 21)",11,76464238,76493929,29692,2,"109934","ENSMUST00000151526.2",11075,"ENSMUSG00000017631","Abr","active BCR-related gene"
"5","chr8",22692972,22693883,912,"*","Promoter (<=1kb)",8,22682757,22694065,11309,2,"16150","ENSMUST00000131767.1",182,"ENSMUSG00000031537","Ikbkb","inhibitor of kappaB kinase beta"
"6","chr11",114907523,114908443,921,"*","Distal Intergenic",11,114890294,114893470,3177,1,"217303","ENSMUST00000153245.1",17229,"ENSMUSG00000034652","Cd300a","CD300A molecule"
"7","chr1",170978373,170979269,897,"*","Promoter (1-2kb)",1,170960769,170976547,15779,2,"14130","ENSMUST00000159969.7",-1826,"ENSMUSG00000026656","Fcgr2b","Fc receptor, IgG, low affinity IIb"
"8","chr11",69585608,69586516,909,"*","Promoter (2-3kb)",11,69588695,69589821,1127,1,"22059","ENSMUST00000130540.1",-2179,"ENSMUSG00000059552","Trp53","transformation related protein 53"
"9","chr15",27663825,27664711,887,"*","Promoter (1-2kb)",15,27657002,27662440,5439,2,"223433","ENSMUST00000226581.1",-1385,"ENSMUSG00000056069","Otulinl","OTU deubiquitinase with linear linkage specificity like"
"10","chr6",122989657,122990581,925,"*","Promoter (<=1kb)",6,122990367,123024105,33739,1,"474145","ENSMUST00000079379.2",0,"ENSMUSG00000059639","Clec4a4","C-type lectin domain family 4, member a4"
"11","chr2",109280369,109281216,848,"*","Promoter (<=1kb)",2,109280738,109341747,61010,1,"228421","ENSMUST00000028527.7",0,"ENSMUSG00000027115","Kif18a","kinesin family member 18A"
"12","chr17",31325876,31326771,896,"*","Promoter (<=1kb)",17,31325627,31340990,15364,1,"224674","ENSMUST00000237425.1",249,"ENSMUSG00000024036","Slc37a1","solute carrier family 37 (glycerol-3-phosphate transporter), member 1"
"13","chr19",55865680,55866602,923,"*","Intron (ENSMUST00000111662.10/21416, intron 4 of 13)",19,55893352,55919618,26267,1,"21416","ENSMUST00000145249.7",-26750,"ENSMUSG00000024985","Tcf7l2","transcription factor 7 like 2, T cell specific, HMG box"
"14","chr8",26887965,26888753,789,"*","Distal Intergenic",8,26814593,26880582,65990,2,"72316","ENSMUST00000210732.1",-7383,"ENSMUSG00000100335","2310008N11Rik","RIKEN cDNA 2310008N11 gene"
"15","chr5",35035509,35036296,788,"*","Intron (ENSMUST00000087684.10/71729, intron 16 of 16)",5,35041509,35048424,6916,1,"54426","ENSMUST00000030985.9",-5213,"ENSMUSG00000029102","Hgfac","hepatocyte growth factor activator"
"16","chr8",57588978,57589882,905,"*","Intron (ENSMUST00000034021.11/108150, intron 1 of 11)",8,57526024,57538453,12430,2,"108150","ENSMUST00000139417.1",-50525,"ENSMUSG00000031608","Galnt7","polypeptide N-acetylgalactosaminyltransferase 7"
"17","chr17",36966589,36967477,889,"*","Promoter (2-3kb)",17,36963822,36965625,1804,1,"76416","ENSMUST00000209623.1",2767,"ENSMUSG00000036214","Polr1has","RNA polymerase I subunit H, antisense"
"18","chr7",99539108,99540029,922,"*","Promoter (<=1kb)",7,99539669,99588136,48468,1,"109689","ENSMUST00000161525.1",0,"ENSMUSG00000018909","Arrb1","arrestin, beta 1"
"19","chr2",33172821,33173726,906,"*","Intron (ENSMUST00000131298.6/241308, intron 9 of 17)",2,33143307,33158170,14864,2,"241308","ENSMUST00000138704.1",-14651,"ENSMUSG00000038831","Ralgps1","Ral GEF with PH domain and SH3 binding motif 1"
"20","chr13",52582724,52583678,955,"*","Promoter (<=1kb)",13,52583173,52648792,65620,1,"20963","ENSMUST00000120135.7",0,"ENSMUSG00000021457","Syk","spleen tyrosine kinase"
"21","chr1",167339099,167339975,877,"*","Distal Intergenic",1,167349991,167368532,18542,1,"56752","ENSMUST00000028004.10",-10016,"ENSMUSG00000026687","Aldh9a1","aldehyde dehydrogenase 9, subfamily A1"
"22","chr14",66845273,66845906,634,"*","Intron (ENSMUST00000022629.8/12934, intron 3 of 13)",14,66802864,66868688,65825,2,"12934","ENSMUST00000022629.8",22782,"ENSMUSG00000022048","Dpysl2","dihydropyrimidinase-like 2"
"23","chr15",80638847,80639734,888,"*","Intron (ENSMUST00000229980.1/17444, intron 4 of 7)",15,80646073,80646136,64,1,"102466773","ENSMUST00000183708.1",-6339,"ENSMUSG00000098631","Mir6957","microRNA 6957"
"24","chr3",89987575,89988443,869,"*","Distal Intergenic",3,89995456,89995953,498,2,"23897","ENSMUST00000197481.1",7510,"ENSMUSG00000027944","Hax1","HCLS1 associated X-1"
"25","chr12",106009827,106010715,889,"*","Promoter (<=1kb)",12,106010228,106075220,64993,1,"22367","ENSMUST00000072040.6",0,"ENSMUSG00000021115","Vrk1","vaccinia related kinase 1"
"26","chr17",83846049,83846948,900,"*","Promoter (<=1kb)",17,83831156,83846749,15594,2,"107766","ENSMUST00000000687.8",0,"ENSMUSG00000000673","Haao","3-hydroxyanthranilate 3,4-dioxygenase"
"27","chr3",154177497,154178373,877,"*","Intron (ENSMUST00000089948.5/242259, intron 2 of 21)",3,154222482,154225525,3044,1,"242259","ENSMUST00000128362.1",-44109,"ENSMUSG00000028360","Slc44a5","solute carrier family 44, member 5"
"28","chr11",119709001,119709914,914,"*","Intron (ENSMUST00000125583.7/74370, intron 3 of 12)",11,119655944,119865810,209867,1,"74370","ENSMUST00000127899.7",53057,"ENSMUSG00000025583","Rptor","regulatory associated protein of MTOR, complex 1"
"29","chr4",149049355,149050177,823,"*","Intron (ENSMUST00000103217.10/56273, intron 2 of 8)",4,148984105,149099809,115705,2,"56273","ENSMUST00000134747.1",49632,"ENSMUSG00000028975","Pex14","peroxisomal biogenesis factor 14"
"30","chr18",82856514,82857420,907,"*","Promoter (<=1kb)",18,82855897,82859162,3266,1,"73985","ENSMUST00000180631.1",617,"ENSMUSG00000097738","4930445N18Rik","RIKEN cDNA 4930445N18 gene"
"31","chr8",14891161,14891940,780,"*","Promoter (1-2kb)",8,14889359,14894919,5561,1,"26889","ENSMUST00000128839.1",1802,"ENSMUSG00000026317","Cln8","CLN8 transmembrane ER and ERGIC protein"
"32","chr16",35022040,35022881,842,"*","Promoter (<=1kb)",16,35022428,35109177,86750,1,"70757","ENSMUST00000061156.9",0,"ENSMUSG00000035376","Hacd2","3-hydroxyacyl-CoA dehydratase 2"
"33","chr15",59587866,59588788,923,"*","Intron (ENSMUST00000227173.1/68501, intron 5 of 7)",15,59648350,59657099,8750,1,"211770","ENSMUST00000067543.7",-59562,"ENSMUSG00000032501","Trib1","tribbles pseudokinase 1"
"34","chr16",36935708,36936504,797,"*","Promoter (<=1kb)",16,36934983,36963212,28230,1,"15163","ENSMUST00000023531.14",725,"ENSMUSG00000022831","Hcls1","hematopoietic cell specific Lyn substrate 1"
"35","chr1",15805279,15806115,837,"*","Promoter (<=1kb)",1,15805646,15844052,38407,1,"21749","ENSMUST00000188371.6",0,"ENSMUSG00000025925","Terf1","telomeric repeat binding factor 1"
"36","chr9",22814623,22815540,918,"*","Intron (ENSMUST00000039798.15/319845, intron 20 of 21)",9,22678750,22888274,209525,1,"319845","ENSMUST00000124076.1",135873,"ENSMUSG00000035919","Bbs9","Bardet-Biedl syndrome 9 (human)"
"37","chr13",100602038,100602907,870,"*","Intron (ENSMUST00000022137.13/218518, intron 3 of 6)",13,100595959,100616702,20744,2,"218518","ENSMUST00000225754.1",13795,"ENSMUSG00000021636","Marveld2","MARVEL (membrane-associating) domain containing 2"
