"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr11",75165147,75165803,657,"*","Promoter (2-3kb)",11,75167153,75168146,994,2,"15248","ENSMUST00000131720.1",2343,"ENSMUSG00000043099","Hic1","hypermethylated in cancer 1"
"2","chr2",166780919,166781948,1030,"*","Distal Intergenic",2,166793767,166799505,5739,1,"76367","ENSMUST00000151826.1",-11819,"ENSMUSG00000042854","Trp53rkb","transformation related protein 53 regulating kinase B"
"3","chr7",106236202,106237076,875,"*","Distal Intergenic",7,106156556,106215326,58771,2,"100042856","ENSMUST00000183409.1",-20876,"ENSMUSG00000078606","Gvin2","GTPase, very large interferon inducible, family member 2"
"4","chr15",83535448,83536352,905,"*","Promoter (1-2kb)",15,83533544,83544201,10658,1,"12124","ENSMUST00000229165.1",1904,"ENSMUSG00000016758","Bik","BCL2-interacting killer"
"5","chr2",167278839,167279672,834,"*","Distal Intergenic",2,167301200,167305698,4499,2,"56336","ENSMUST00000149698.1",26026,"ENSMUSG00000017929","B4galt5","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5"
"6","chr18",70471972,70472866,895,"*","Promoter (<=1kb)",18,70472454,70501066,28613,1,"170461","ENSMUST00000114959.8",0,"ENSMUSG00000079608","Stard6","StAR-related lipid transfer (START) domain containing 6"
"7","chr18",76929566,76930432,867,"*","Promoter (<=1kb)",18,76930017,76941612,11596,1,"66191","ENSMUST00000026487.5",0,"ENSMUSG00000090000","Ier3ip1","immediate early response 3 interacting protein 1"
"8","chr1",64302659,64303520,862,"*","Exon (ENSMUST00000190863.1/ENSMUST00000190863.1, exon 1 of 2)",1,64079103,64122282,43180,2,"93691","ENSMUST00000135075.1",-180377,"ENSMUSG00000025959","Klf7","Kruppel-like factor 7 (ubiquitous)"
"9","chr7",141474817,141475674,858,"*","Promoter (<=1kb)",7,141475240,141493427,18188,1,"64540","ENSMUST00000026585.13",0,"ENSMUSG00000025511","Tspan4","tetraspanin 4"
"10","chr14",75721793,75722673,881,"*","Exon (ENSMUST00000226686.1/338337, exon 12 of 18)",14,75730390,75732987,2598,2,"338337","ENSMUST00000228081.1",10314,"ENSMUSG00000034893","Cog3","component of oligomeric golgi complex 3"
