"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr6",99212228,99213104,877,"*","Intron (ENSMUST00000113326.8/108655, intron 2 of 17)",6,99075962,99248336,172375,2,"108655","ENSMUST00000177208.1",35232,"ENSMUSG00000030067","Foxp1","forkhead box P1"
"2","chr5",143580890,143581697,808,"*","Distal Intergenic",5,143549040,143551933,2894,1,"67238","ENSMUST00000198994.1",31850,"ENSMUSG00000083012","Fam220a","family with sequence similarity 220, member A"
"3","chr19",33122572,33123490,919,"*","Exon (ENSMUST00000237929.1/ENSMUST00000237929.1, exon 1 of 5)",19,33157112,33157201,90,1,"100628575","ENSMUST00000199287.1",-33622,"ENSMUSG00000106278","Mir3970","microRNA 3970"
"4","chr19",32298009,32298928,920,"*","Intron (ENSMUST00000099514.9/208449, intron 2 of 9)",19,32220587,32289579,68993,2,"208449","ENSMUST00000124483.1",-8430,"ENSMUSG00000040451","Sgms1","sphingomyelin synthase 1"
"5","chr16",30465520,30466438,919,"*","Distal Intergenic",16,30362579,30405975,43397,2,"224088","ENSMUST00000229616.1",-59545,"ENSMUSG00000022533","Atp13a3","ATPase type 13A3"
"6","chr3",87565832,87566756,925,"*","Distal Intergenic",3,87551249,87561109,9861,1,"546801","ENSMUST00000238853.1",14583,"ENSMUSG00000118505","Etv3l","ets variant 3-like"
"7","chr2",30926953,30927841,889,"*","Intron (ENSMUST00000132244.1/ENSMUST00000132244.1, intron 1 of 2)",2,30889471,30903297,13827,2,"64292","ENSMUST00000102852.5",-23656,"ENSMUSG00000050737","Ptges","prostaglandin E synthase"
"8","chr4",108789197,108790069,873,"*","Distal Intergenic",4,108637466,108780798,143333,2,"230597","ENSMUST00000106657.7",-8399,"ENSMUSG00000034557","Zfyve9","zinc finger, FYVE domain containing 9"
"9","chr3",109361667,109362560,894,"*","Intron (ENSMUST00000046864.13/57257, intron 1 of 26)",3,109341106,109442212,101107,1,"57257","ENSMUST00000137871.1",20561,"ENSMUSG00000033721","Vav3","vav 3 oncogene"
"10","chr16",90112614,90113509,896,"*","Intron (ENSMUST00000114124.8/21844, intron 1 of 11)",16,89787111,90143769,356659,2,"21844","ENSMUST00000114124.8",30260,"ENSMUSG00000002489","Tiam1","T cell lymphoma invasion and metastasis 1"
