"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr3",131490061,131490993,933,"*","Promoter (<=1kb)",3,131342169,131490479,148311,2,"74442","ENSMUST00000197057.1",0,"ENSMUSG00000050931","Sgms2","sphingomyelin synthase 2"
"2","chr16",65814840,65815749,910,"*","Promoter (<=1kb)",16,65815257,65866368,51112,1,"73569","ENSMUST00000168064.2",0,"ENSMUSG00000091243","Vgll3","vestigial like family member 3"
"3","chr1",189727738,189728623,886,"*","Promoter (<=1kb)",1,189728268,189876695,148428,1,"19250","ENSMUST00000097442.8",0,"ENSMUSG00000026604","Ptpn14","protein tyrosine phosphatase, non-receptor type 14"
"4","chr6",5495992,5496895,904,"*","Promoter (<=1kb)",6,5483351,5496309,12959,2,"27273","ENSMUST00000019721.6",0,"ENSMUSG00000019577","Pdk4","pyruvate dehydrogenase kinase, isoenzyme 4"
"5","chr12",50648752,50649621,870,"*","Promoter (<=1kb)",12,50341231,50649098,307868,2,"18760","ENSMUST00000002765.8",0,"ENSMUSG00000002688","Prkd1","protein kinase D1"
"6","chr1",82291086,82291874,789,"*","Promoter (<=1kb)",1,82233101,82291416,58316,2,"16367","ENSMUST00000069799.2",0,"ENSMUSG00000055980","Irs1","insulin receptor substrate 1"
"7","chr3",117868498,117869382,885,"*","Promoter (<=1kb)",3,117781647,117868936,87290,2,"76561","ENSMUST00000029639.11",0,"ENSMUSG00000028007","Snx7","sorting nexin 7"
"8","chr14",103069782,103070706,925,"*","Promoter (<=1kb)",14,103070216,103077628,7413,1,"211286","ENSMUST00000022721.7",0,"ENSMUSG00000022125","Cln5","ceroid-lipofuscinosis, neuronal 5"
"9","chr5",19226229,19227155,927,"*","Promoter (<=1kb)",5,19227036,20702919,1475884,1,"50791","ENSMUST00000197354.4",0,"ENSMUSG00000040003","Magi2","membrane associated guanylate kinase, WW and PDZ domain containing 2"
"10","chr3",141464874,141465688,815,"*","Promoter (<=1kb)",3,141465216,141834924,369709,1,"22253","ENSMUST00000106236.8",0,"ENSMUSG00000059921","Unc5c","unc-5 netrin receptor C"
"11","chr7",36697531,36698372,842,"*","Promoter (<=1kb)",7,36698118,36773553,75436,1,"243931","ENSMUST00000021641.7",0,"ENSMUSG00000021217","Tshz3","teashirt zinc finger family member 3"
"12","chr7",34655101,34655948,848,"*","Promoter (<=1kb)",7,34639019,34655509,16491,2,"233107","ENSMUST00000032709.2",0,"ENSMUSG00000030499","Kctd15","potassium channel tetramerisation domain containing 15"
"13","chr3",145649437,145650276,840,"*","Promoter (<=1kb)",3,145646976,145649981,3006,2,"16007","ENSMUST00000029846.4",0,"ENSMUSG00000028195","Ccn1","cellular communication network factor 1"
